PURCHASE ORDER #,START SHIP DATE,END SHIP DATE,EVENT_ID,EVENT_START_DATE,EVENT_END_DATE
22467230,12/20/19,1/12/20,313930,4/11/20 8:00,4/14/20 8:00
22467231,12/20/19,1/12/20,313931,4/11/20 8:00,4/14/20 8:00
22467232,12/20/19,1/12/20,,4/11/20 8:00,4/14/20 8:00
22467233,12/20/19,1/12/20,313924,4/11/20 8:00,4/14/20 8:00
22467234,12/20/19,1/12/20,313925,4/11/20 8:00,4/14/20 8:00
22467235,12/20/19,1/12/20,313926,4/11/20 8:00,4/14/20 8:00
22467236,12/20/19,1/12/20,,4/11/20 8:00,4/14/20 8:00
22467237,12/20/19,1/12/20,313919,4/11/20 8:00,4/14/20 8:00
22467239,12/20/19,1/12/20,313920,4/11/20 8:00,4/14/20 8:00
22467240,12/20/19,1/12/20,320069,4/11/20 8:00,4/14/20 8:00
22467242,12/20/19,1/12/20,313921,4/11/20 8:00,4/14/20 8:00
22467244,12/20/19,1/12/20,313922,4/11/20 8:00,4/14/20 8:00
22467246,12/20/19,1/12/20,313923,4/11/20 8:00,4/14/20 8:00
22467248,12/20/19,1/12/20,318901,4/11/20 8:00,4/14/20 8:00
22467251,12/20/19,1/12/20,315587,4/11/20 8:00,4/14/20 8:00
22467253,12/20/19,1/12/20,313918,4/11/20 8:00,4/14/20 8:00
22467255,12/20/19,1/12/20,,4/11/20 8:00,4/14/20 8:00
22467284,12/20/19,1/12/20,314398,4/11/20 8:00,4/14/20 8:00
